generador;hora;vertimiento_mw
SOLAR-NORTE-01;545;1409.0967741935483
SOLAR-NORTE-01;546;1372.3225806451612
SOLAR-NORTE-01;547;1216.0
SOLAR-NORTE-01;548;673.9354838709678
SOLAR-NORTE-01;549;13.612903225806456
SOLAR-NORTE-01;560;117.16129032258064
SOLAR-NORTE-01;561;778.1935483870968
SOLAR-NORTE-01;562;1177.516129032258
SOLAR-NORTE-01;563;1298.2903225806451
SOLAR-NORTE-01;564;1384.0
SOLAR-NORTE-01;565;1437.1290322580646
SOLAR-NORTE-01;566;1435.774193548387
SOLAR-NORTE-01;567;1411.1612903225807
SOLAR-NORTE-01;568;1430.3870967741937
SOLAR-NORTE-01;569;1409.0967741935483
SOLAR-NORTE-01;570;1372.3225806451612
SOLAR-NORTE-01;571;1216.0
SOLAR-NORTE-01;572;673.9354838709678
SOLAR-NORTE-01;584;117.16129032258064
SOLAR-NORTE-01;585;778.1935483870968
SOLAR-NORTE-01;586;1177.516129032258
SOLAR-NORTE-01;587;1298.2903225806451
SOLAR-NORTE-01;588;1384.0
SOLAR-NORTE-01;589;1437.1290322580646
SOLAR-NORTE-01;590;1435.774193548387
SOLAR-NORTE-01;591;1411.1612903225807
SOLAR-NORTE-01;592;1430.3870967741937
SOLAR-NORTE-01;593;1409.0967741935483
SOLAR-NORTE-01;594;1372.3225806451612
SOLAR-NORTE-01;595;1216.0
SOLAR-NORTE-01;596;673.9354838709678
SOLAR-NORTE-01;597;13.612903225806456
SOLAR-NORTE-01;608;117.16129032258064
SOLAR-NORTE-01;609;778.1935483870968
SOLAR-NORTE-01;610;1177.516129032258
SOLAR-NORTE-01;611;1298.2903225806451
SOLAR-NORTE-01;612;1384.0
SOLAR-NORTE-01;613;1437.1290322580646
SOLAR-NORTE-01;614;1435.774193548387
SOLAR-NORTE-01;615;1411.1612903225807
SOLAR-NORTE-01;616;1430.3870967741937
SOLAR-NORTE-01;617;1409.0967741935483
SOLAR-NORTE-01;618;1372.3225806451612
SOLAR-NORTE-01;619;1216.0
SOLAR-NORTE-01;620;673.9354838709678
SOLAR-NORTE-01;621;13.612903225806456
SOLAR-NORTE-01;632;117.16129032258064
SOLAR-NORTE-01;633;778.1935483870968
SOLAR-NORTE-01;634;1177.516129032258
SOLAR-NORTE-01;635;1298.2903225806451
SOLAR-NORTE-01;636;1384.0
SOLAR-NORTE-01;637;1437.1290322580646
SOLAR-NORTE-01;638;1435.774193548387
SOLAR-NORTE-01;639;1411.1612903225807
